symbol;eurocent
USDRUB;16,06
EURNZD;7,43
EURAUD;6,04
GBPAUD;4,81
EURCAD;2,67
EURUSD;2,31
EURGBP;2,02
AUDNZD;0,51
EURJPY;0,5
