symbol;eurocent
EURNZD;7,58
EURSGD;6,71
EURAUD;5,71
EURJPY;5,64
USDRUB;4,19
GBPAUD;3,99
USDSGD;2,82
EURUSD;2,67
EURCAD;2,31
EURGBP;1,7
AUDNZD;0,75
