symbol;eurocent
AUDCHF;4,94
AUDJPY;3,77
USDCHF;3,58
NZDUSD;3,13
GBPJPY;2,4
AUDUSD;2,22
USDSEK;2,18
AUDCAD;2,13
USDJPY;1,94
CADJPY;1,68
EURCHF;1
