symbol;eurocent
AUDCHF;4,35
AUDJPY;3,17
USDCHF;2,99
NZDUSD;2,91
AUDUSD;2,12
AUDCAD;1,96
USDSEK;1,89
GBPJPY;1,51
USDJPY;1,27
CADJPY;1,2
EURCHF;0,55
