symbol;eurocent
USDRUB;63,09
EURNZD;8,17
EURAUD;6,46
GBPAUD;5,04
EURCAD;3,11
EURUSD;2,9
EURGBP;2,37
AUDNZD;0,93
EURJPY;0,56
GBPUSD;0,45
USDCAD;0,44
