symbol;eurocent
AUDCHF;4,35
AUDJPY;3,15
USDCHF;2,99
NZDUSD;2,93
AUDUSD;2,13
AUDCAD;1,97
USDSEK;1,89
GBPJPY;1,5
USDJPY;1,26
CADJPY;1,19
EURCHF;0,55
