symbol.eurocent
GBPJPY.9.79
AUDJPY.9.19
AUDCHF.9.04
USDSEK.6.89
USDCHF.6.13
NZDUSD.3.04
USDJPY.2.78
CADJPY.2.26
EURCHF.2.04
AUDUSD.1.81
AUDSGD.1.76
AUDCAD.1.48
NOKSEK.1.29
EURSEK.1.27
