symbol,eurocent
NZDCHF,5.7
AUDCHF,4.96
GBPCHF,4.76
NZDJPY,4.55
AUDJPY,3.79
USDCHF,3.4
NZDUSD,3.23
GBPSEK,3.14
NZDCAD,3.04
CADCHF,2.76
GBPJPY,2.53
AUDUSD,2.33
AUDCAD,2.2
USDSEK,1.99
USDJPY,1.82
CADJPY,1.6
USDCZK,1.31
EURCHF,1.06
GBPDKK,0.43
USDSGD,0.39
USDHKD,0.34
USDDKK,0.16
