symbol;eurocent
USDRUB;14,83
EURNZD;7,54
EURAUD;5,73
GBPAUD;4,32
EURCAD;3,08
EURUSD;2,6
EURGBP;2,09
EURJPY;0,8
AUDNZD;0,58
GBPUSD;0,23
