symbol,eurocent
GBPJPY,9.95
AUDJPY,9.33
AUDCHF,9.05
USDSEK,6.89
USDCHF,6.14
NZDUSD,3.04
USDJPY,2.82
CADJPY,2.29
EURCHF,2.04
AUDUSD,1.82
AUDSGD,1.76
AUDCAD,1.47
NOKSEK,1.29
EURSEK,1.27
