symbol,eurocent
GBPJPY,9.9
AUDJPY,9.29
AUDCHF,9.08
USDSEK,6.9
USDCHF,6.16
NZDUSD,3.05
USDJPY,2.81
CADJPY,2.28
EURCHF,2.05
AUDUSD,1.82
AUDSGD,1.76
AUDCAD,1.47
NOKSEK,1.29
EURSEK,1.27
