symbol.eurocent
AUDCHF.4.24
AUDJPY.3.08
USDCHF.2.89
NZDUSD.2.65
USDSEK.2.51
AUDUSD.1.94
AUDCAD.1.56
GBPJPY.1.37
CADJPY.1.31
USDJPY.1.04
EURCHF.0.64
NOKSEK.0.35
