symbol.eurocent
AUDCHF.4.25
AUDJPY.3.08
USDCHF.2.9
NZDUSD.2.66
USDSEK.2.53
AUDUSD.1.95
AUDCAD.1.57
GBPJPY.1.37
CADJPY.1.3
USDJPY.1.04
EURCHF.0.64
NOKSEK.0.35
