symbol,eurocent
NZDCHF,5.8
AUDCHF,5.05
GBPCHF,4.84
NZDJPY,4.83
AUDJPY,4.03
USDCHF,3.46
NZDUSD,3.32
GBPSEK,3.09
NZDCAD,3.07
CADCHF,2.8
GBPJPY,2.68
AUDUSD,2.39
AUDCAD,2.22
USDSEK,1.96
USDJPY,1.93
CADJPY,1.7
USDCZK,1.31
EURCHF,1.08
GBPDKK,0.43
USDSGD,0.4
USDHKD,0.35
USDDKK,0.16
