symbol;eurocent
EURNZD;6,92
EURJPY;5,75
EURAUD;5,7
USDRUB;4,76
GBPAUD;4,43
EURUSD;2,25
EURSGD;2,24
EURCAD;1,72
EURGBP;1,33
USDSGD;0,89
AUDNZD;0,09
