symbol.eurocent
GBPJPY.9.84
AUDJPY.9.24
AUDCHF.9.06
USDSEK.6.85
USDCHF.6.14
NZDUSD.3.06
USDJPY.2.79
CADJPY.2.27
EURCHF.2.04
AUDUSD.1.83
AUDSGD.1.77
AUDCAD.1.49
NOKSEK.1.28
EURSEK.1.26
