symbol.eurocent
AUDCHF.4.93
AUDJPY.3.73
USDCHF.3.57
NZDUSD.3.14
GBPJPY.2.38
AUDUSD.2.22
USDSEK.2.19
AUDCAD.2.16
USDJPY.1.92
CADJPY.1.66
EURCHF.1
