symbol.eurocent
GBPJPY.9.78
AUDJPY.9.18
AUDCHF.9.04
USDSEK.6.9
USDCHF.6.13
NZDUSD.3.05
USDJPY.2.78
CADJPY.2.25
EURCHF.2.04
AUDUSD.1.82
AUDSGD.1.76
AUDCAD.1.48
NOKSEK.1.29
EURSEK.1.27
