symbol,eurocent
AUDCHF,4.92
AUDJPY,3.75
USDCHF,3.56
NZDUSD,3.13
GBPJPY,2.39
AUDUSD,2.21
USDSEK,2.2
AUDCAD,2.14
USDJPY,1.93
CADJPY,1.67
EURCHF,0.99
