symbol;eurocent
USDRUB;15,83
EURNZD;7,51
EURAUD;6,05
GBPAUD;4,82
EURCAD;2,65
EURUSD;2,3
EURGBP;1,98
AUDNZD;0,52
EURJPY;0,5
