symbol.eurocent
GBPJPY.9.89
AUDJPY.9.28
AUDCHF.4.47
USDCHF.2.83
USDJPY.2.81
CADJPY.2.28
AUDUSD.2.09
AUDCAD.1.87
AUDSGD.1.8
NOKSEK.0.62
EURCHF.0.56
USDSEK.0.45
EURSEK.0.18
