symbol;eurocent
GBPJPY;9,8
AUDJPY;9,19
AUDCHF;9,09
USDSEK;6,87
USDCHF;6,16
NZDUSD;3,05
USDJPY;2,78
CADJPY;2,26
EURCHF;2,05
AUDUSD;1,82
AUDSGD;1,75
AUDCAD;1,48
NOKSEK;1,29
EURSEK;1,27
