symbol;eurocent
GBPJPY;5,35
AUDJPY;3,14
EURJPY;2,51
EURSGD;2,5
USDSEK;2,33
AUDCHF;2,15
USDCHF;1,88
USDSGD;1,21
USDRUB;0,9
NOKSEK;0,62
