symbol,eurocent
EURTRY,16.61
EURZAR,8.52
EURNZD,7.88
USDTRY,6.96
GBPNZD,6.65
EURAUD,6.43
USDZAR,6.41
USDMXN,5.49
GBPAUD,4.77
EURPLN,3.88
EURCAD,2.85
EURUSD,2.68
EURGBP,2.52
EURNOK,1.98
XAUUSD,1.82
USDRUB,1.77
CHFJPY,1.35
USDPLN,0.96
USDCNH,0.94
AUDNZD,0.82
EURJPY,0.38
GBPCAD,0.21
EURHKD,0.14
USDCAD,0.03
