symbol,eurocent
USDRUB,63.32
EURNZD,8.04
EURAUD,6.46
GBPAUD,5.04
EURCAD,3.09
EURUSD,2.86
EURGBP,2.41
AUDNZD,0.92
EURJPY,0.55
GBPUSD,0.45
USDCAD,0.43
