symbol.eurocent
AUDCHF.4.18
AUDJPY.3.07
USDCHF.2.89
NZDUSD.2.65
USDSEK.2.56
AUDUSD.1.87
AUDCAD.1.57
GBPJPY.1.45
CADJPY.1.3
USDJPY.1.2
EURCHF.0.55
NOKSEK.0.38
EURSEK.0.32
