symbol.eurocent
AUDCHF.4.19
AUDJPY.3.06
USDCHF.2.9
USDSEK.2.75
NZDUSD.2.65
AUDUSD.1.87
AUDCAD.1.57
GBPJPY.1.44
CADJPY.1.29
USDJPY.1.2
EURCHF.0.55
NOKSEK.0.38
EURSEK.0.36
