symbol,eurocent
EURTRY,16.65
EURZAR,8.38
EURNZD,7.91
USDTRY,6.97
GBPNZD,6.68
EURAUD,6.47
USDZAR,6.31
USDMXN,5.42
GBPAUD,4.8
EURPLN,3.82
EURCAD,2.85
EURUSD,2.73
EURGBP,2.34
EURNOK,1.95
XAUUSD,1.86
USDRUB,1.73
CHFJPY,1.42
USDCNH,0.96
USDPLN,0.94
AUDNZD,0.83
EURJPY,0.4
GBPCAD,0.21
EURHKD,0.14
USDCAD,0.03
