symbol;eurocent
USDRUB;15,88
EURNZD;7,5
EURAUD;6,03
GBPAUD;4,71
EURCAD;2,66
EURUSD;2,3
EURGBP;1,77
EURJPY;0,31
AUDNZD;0,21
