symbol.eurocent
AUDCHF.4.9
AUDJPY.3.71
USDCHF.3.55
NZDUSD.3.12
GBPJPY.2.36
AUDUSD.2.21
USDSEK.2.21
AUDCAD.2.15
USDJPY.1.91
CADJPY.1.65
EURCHF.0.99
