symbol;eurocent
GBPJPY;9,93
AUDJPY;9,32
AUDCHF;4,47
NZDUSD;2,84
USDCHF;2,83
USDJPY;2,82
CADJPY;2,29
AUDUSD;2,06
AUDCAD;1,83
AUDSGD;1,76
NOKSEK;0,62
EURCHF;0,56
USDSEK;0,44
EURSEK;0,18
