symbol.eurocent
GBPJPY.9.89
AUDJPY.9.28
AUDCHF.9.1
USDSEK.6.86
USDCHF.6.17
NZDUSD.3.07
USDJPY.2.81
CADJPY.2.28
EURCHF.2.05
AUDUSD.1.83
AUDSGD.1.77
AUDCAD.1.48
NOKSEK.1.29
EURSEK.1.26
