symbol;eurocent
GBPJPY;5,32
AUDJPY;3,13
EURJPY;2,5
EURSGD;2,49
USDSEK;2,35
AUDCHF;2,14
USDCHF;1,87
USDSGD;1,2
USDRUB;0,88
NOKSEK;0,63
