symbol.eurocent
AUDCHF.4.95
AUDJPY.3.78
USDCHF.3.58
NZDUSD.3.15
GBPJPY.2.41
AUDUSD.2.23
USDSEK.2.19
AUDCAD.2.15
USDJPY.1.94
CADJPY.1.68
EURCHF.1
