symbol,eurocent
USDRUB,63.93
USDTRY,46.07
EURTRY,15.5
EURZAR,11.65
USDZAR,9.53
EURNZD,8.21
GBPNZD,7.38
EURAUD,6.46
USDMXN,5.65
GBPAUD,5.04
EURPLN,3.91
EURCAD,3.1
EURUSD,2.88
EURGBP,2.38
EURNOK,1.97
USDCNH,1.61
CHFJPY,1.51
XAUUSD,1.29
AUDNZD,0.94
USDPLN,0.88
GBPCAD,0.64
EURJPY,0.57
GBPUSD,0.45
USDCAD,0.44
GBPNOK,0.29
