symbol.eurocent
AUDCHF.4.85
AUDJPY.3.69
USDCHF.3.51
NZDUSD.3.1
GBPJPY.2.35
USDSEK.2.21
AUDUSD.2.2
AUDCAD.2.12
USDJPY.1.9
CADJPY.1.64
EURCHF.0.98
