symbol,eurocent
GBPJPY,5.37
AUDJPY,3.16
EURJPY,2.52
EURSGD,2.5
USDSEK,2.34
AUDCHF,2.16
USDCHF,1.89
USDSGD,1.21
USDRUB,0.89
NOKSEK,0.62
