symbol;eurocent
GBPJPY;5,41
AUDJPY;3,18
EURJPY;2,54
EURSGD;2,5
USDSEK;2,35
AUDCHF;2,15
USDCHF;1,88
USDSGD;1,21
USDRUB;0,89
NOKSEK;0,63
